iter	Passed	Remaining
415	3195	4485
416	3210	4488
417	3213	4474
418	3224	4470
419	3228	4458
420	3239	4455
421	3291	4507
422	3294	4493
423	3304	4489
424	3329	4504
425	3337	4497
426	3340	4483
427	3344	4469
428	3356	4467
429	3404	4512
430	3407	4497
431	3410	4483
432	3419	4478
433	3424	4465
434	3433	4459
435	3436	4444
436	3438	4430
437	3448	4424
438	3451	4410
439	3461	4405
440	3465	4392
441	3468	4378
442	3472	4365
443	3475	4351
444	3486	4347
445	3489	4334
446	3492	4320
447	3519	4336
448	3522	4322
449	3525	4308
450	3534	4303
451	3537	4289
452	3540	4275
453	3551	4270
454	3554	4257
455	3557	4244
456	3568	4240
457	3571	4226
458	3573	4212
459	3584	4207
460	3587	4194
461	3597	4189
462	3606	4183
463	3615	4177
464	3618	4163
465	3621	4150
466	3632	4146
467	3667	4169
468	3670	4155
469	3682	4152
470	3705	4161
471	3709	4149
472	3714	4138
473	3721	4130
474	3725	4117
475	3758	4137
476	3765	4128
477	3771	4118
478	3774	4105
479	3779	4094
480	3783	4082
481	3786	4069
482	3799	4066
483	3806	4058
484	3814	4050
485	3817	4037
486	3820	4024
487	3827	4015
488	3831	4004
489	3834	3991
490	3837	3977
491	3844	3969
492	3847	3957
493	3850	3943
494	3853	3930
495	3862	3924
496	3865	3911
497	3867	3898
498	3876	3891
499	3879	3879
500	3882	3867
501	3885	3854
502	3895	3849
503	3898	3836
504	3907	3829
505	3909	3816
506	3912	3804
507	3915	3791
508	3922	3783
509	3925	3771
510	3927	3758
511	3940	3755
512	3943	3743
513	3946	3731
514	3956	3725
515	3959	3713
516	3962	3701
517	3969	3693
518	3979	3688
519	3986	3679
520	3989	3667
521	4004	3666
522	4011	3658
523	4018	3650
524	4034	3650
525	4038	3638
526	4040	3626
527	4044	3615
528	4049	3605
529	4052	3593
530	4055	3582
531	4125	3629
532	4127	3616
533	4131	3605
534	4134	3593
535	4142	3586
536	4145	3574
537	4148	3562
538	4151	3551
539	4164	3547
540	4173	3541
541	4177	3529
542	4185	3522
543	4188	3511
544	4191	3499
545	4195	3488
546	4204	3482
547	4208	3471
548	4211	3459
549	4252	3479
550	4256	3468
551	4258	3456
552	4261	3444
553	4269	3437
554	4272	3425
555	4277	3415
556	4288	3410
557	4291	3399
558	4305	3396
559	4319	3394
560	4322	3382
561	4327	3372
562	4334	3364
563	4337	3352
564	4340	3341
565	4345	3331
566	4350	3322
567	4354	3312
568	4372	3312
569	4378	3303
570	4381	3292
571	4384	3280
572	4387	3269
573	4396	3262
574	4398	3251
575	4401	3240
576	4404	3228
577	4422	3229
578	4426	3218
579	4429	3207
580	4465	3220
581	4475	3214
582	4478	3203
583	4481	3192
584	4490	3185
585	4494	3174
586	4496	3163
587	4501	3154
588	4505	3144
589	4541	3156
590	4544	3145
591	4552	3137
592	4555	3126
593	4558	3115
594	4561	3105
595	4567	3096
596	4572	3086
597	4576	3076
598	4585	3069
599	4588	3058
600	4590	3047
601	4593	3036
602	4603	3030
603	4606	3020
604	4609	3009
605	4616	3001
606	4632	2999
607	4635	2988
608	4638	2978
609	4641	2967
610	4650	2960
611	4653	2950
612	4656	2939
613	4663	2931
614	4666	2921
615	4670	2911
616	4672	2900
617	4700	2905
618	4703	2894
619	4706	2884
620	4712	2876
621	4715	2865
622	4718	2855
623	4720	2844
624	4727	2836
625	4730	2826
626	4749	2825
627	4752	2815
628	4767	2812
629	4776	2805
630	4779	2795
631	4784	2785
632	4792	2778
633	4795	2768
634	4798	2758
635	4801	2748
636	4808	2740
637	4812	2730
638	4815	2720
639	4823	2713
640	4826	2703
641	4830	2693
642	4837	2685
643	4840	2675
644	4843	2665
645	4854	2660
646	4857	2650
647	4860	2640
648	4864	2630
649	4867	2620
650	4870	2610
651	4873	2601
652	4883	2595
653	4889	2586
654	4897	2579
655	4909	2574
656	4913	2564
657	4916	2555
658	4923	2547
659	4927	2538
660	4930	2528
661	4933	2518
662	4937	2509
663	4941	2500
664	4946	2491
665	4950	2482
666	4954	2473
667	4958	2464
668	4964	2456
669	4967	2446
670	4969	2436
671	4972	2427
672	4999	2428
673	5019	2427
674	5022	2418
675	5030	2411
676	5033	2401
677	5036	2391
678	5039	2382
679	5052	2377
680	5055	2368
681	5059	2358
682	5078	2356
683	5088	2350
684	5092	2341
685	5100	2334
686	5112	2329
687	5115	2319
688	5118	2310
689	5121	2300
690	5126	2292
691	5159	2296
692	5164	2287
693	5169	2279
694	5175	2271
695	5184	2264
696	5190	2256
697	5193	2247
698	5202	2240
699	5206	2231
700	5241	2235
701	5244	2226
702	5253	2219
703	5255	2209
704	5260	2201
705	5264	2192
706	5268	2183
707	5271	2174
708	5305	2177
709	5313	2170
710	5316	2160
711	5319	2151
712	5321	2142
713	5328	2134
714	5332	2125
715	5335	2116
716	5341	2108
717	5391	2117
718	5396	2108
719	5400	2100
720	5406	2092
721	5409	2082
722	5412	2073
723	5416	2064
724	5423	2057
725	5426	2048
726	5439	2042
727	5443	2033
728	5447	2024
729	5453	2017
730	5461	2009
731	5469	2002
732	5472	1993
733	5475	1984
734	5485	1977
735	5492	1970
736	5519	1969
737	5523	1960
738	5536	1955
739	5552	1950
740	5564	1944
741	5567	1935
742	5570	1926
743	5585	1922
744	5588	1912
745	5601	1907
746	5605	1898
747	5613	1891
748	5634	1888
749	5637	1879
750	5640	1870
751	5652	1864
752	5656	1855
753	5666	1848
754	5672	1840
755	5679	1833
756	5682	1824
757	5712	1823
758	5716	1814
759	5720	1806
760	5728	1799
761	5732	1790
762	5747	1785
763	5752	1776
764	5756	1768
765	5772	1763
766	5780	1755
767	5789	1748
768	5793	1740
769	5797	1731
770	5807	1724
771	5809	1715
772	5813	1707
773	5821	1699
774	5824	1691
775	5827	1682
776	5829	1673
777	5856	1671
778	5859	1662
779	5862	1653
780	5869	1645
781	5873	1637
782	5875	1628
783	5878	1619
784	5887	1612
785	5890	1603
786	5893	1595
787	5937	1597
788	5942	1589
789	5949	1581
790	5953	1573
791	5957	1564
792	5965	1557
793	5968	1548
794	5972	1539
795	5979	1532
796	5982	1523
797	5986	1515
798	5989	1506
799	5997	1499
800	6000	1490
801	6002	1481
802	6005	1473
803	6014	1466
804	6017	1457
805	6020	1449
806	6025	1440
807	6028	1432
808	6031	1423
809	6035	1415
810	6042	1408
811	6049	1400
812	6052	1392
813	6059	1384
814	6061	1376
815	6064	1367
816	6068	1359
817	6073	1351
818	6076	1342
819	6079	1334
820	6082	1326
821	6094	1319
822	6099	1311
823	6103	1303
824	6106	1295
825	6110	1287
826	6125	1281
827	6131	1273
828	6137	1265
829	6142	1258
830	6153	1251
831	6158	1243
832	6165	1235
833	6168	1227
834	6171	1219
835	6174	1211
836	6182	1203
837	6206	1199
838	6212	1192
839	6215	1183
840	6218	1175
841	6222	1167
842	6229	1160
843	6232	1151
844	6235	1143
845	6237	1135
846	6247	1128
847	6249	1120
848	6253	1112
849	6260	1104
850	6264	1096
851	6267	1088
852	6270	1080
853	6278	1073
854	6281	1065
855	6284	1057
856	6293	1050
857	6296	1042
858	6301	1034
859	6308	1027
860	6312	1019
861	6315	1011
862	6318	1003
863	6322	995
864	6325	987
865	6328	979
866	6330	971
867	6333	963
868	6336	955
869	6339	947
870	6342	939
871	6348	931
872	6351	923
873	6354	916
874	6357	908
875	6364	900
876	6367	893
877	6370	885
878	6373	877
879	6381	870
880	6384	862
881	6387	854
882	6390	846
883	6396	839
884	6400	831
885	6403	823
886	6406	816
887	6409	808
888	6412	800
889	6415	792
890	6421	785
891	6424	777
892	6427	770
893	6430	762
894	6439	755
895	6442	747
896	6445	740
897	6448	732
898	6457	725
899	6460	717
900	6462	710
901	6470	703
902	6473	695
903	6476	687
904	6479	680
905	6524	676
906	6526	669
907	6535	662
908	6538	654
909	6541	646
910	6544	639
911	6551	632
